Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CD163L1		4	4	499	0.8%	No
TUFT1		1	1	499	0.2%	No
NXN		4	3	499	0.6%	No
PMF1-BGLAP		2	2	499	0.4%	No
OR10P1		3	3	499	0.6%	No
KRT86		1	1	499	0.2%	No
LTC4S		1	1	499	0.2%	No
KRT85		3	3	499	0.6%	No
KRT84		1	1	499	0.2%	No
KRT83		1	1	499	0.2%	No
GMDS		1	1	499	0.2%	No
GTSF1L		1	1	499	0.2%	No
SASH1		3	3	499	0.6%	No
SPEN		10	7	499	1.4%	Yes
PDE4DIP		8	4	499	0.8%	Yes
C9ORF43		2	2	499	0.4%	No
TSHR		1	1	499	0.2%	Yes
GDAP2		2	2	499	0.4%	No
RMC1		4	3	499	0.6%	No
TICRR		1	1	499	0.2%	No
TSKS		1	1	499	0.2%	No
GMFG		1	1	499	0.2%	No
ISM2		1	1	499	0.2%	No
TSKU		1	1	499	0.2%	No
SPIB		2	2	499	0.4%	No
ISLR		3	3	499	0.6%	No
SYNGAP1		4	3	499	0.6%	No
TBK1		1	1	499	0.2%	No
RAVER1		2	2	499	0.4%	No
AKT2		1	1	499	0.2%	Yes
AKT3		1	1	499	0.2%	Yes
RAVER2		1	1	499	0.2%	No
AKT1		3	3	499	0.6%	Yes
PKNOX1		2	2	499	0.4%	No
GTSE1		2	2	499	0.4%	Yes
MNX1		2	2	499	0.4%	Yes
ARPIN		1	1	499	0.2%	No
PKNOX2		2	2	499	0.4%	No
KRTDAP		1	1	499	0.2%	No
TSTD2		2	2	499	0.4%	No
PHKA1		2	2	499	0.4%	No
PHKA2		2	2	499	0.4%	No
CTAGE1		2	1	499	0.2%	No
CTAGE9		1	1	499	0.2%	No
CTAGE6		1	1	499	0.2%	No
SKAP1		1	1	499	0.2%	No
EXD2		1	1	499	0.2%	No
EXD3		2	2	499	0.4%	No
NLRX1		3	2	499	0.4%	No
CRABP2		1	1	499	0.2%	No
PLA2G5		1	1	499	0.2%	No
BAZ2B		4	4	499	0.8%	No
PLA2G6		2	2	499	0.4%	No
PLA2G7		2	2	499	0.4%	No
RNF212		2	2	499	0.4%	No
KRTAP5-10		1	1	499	0.2%	No
RHOT2		3	2	499	0.4%	No
RNF214		4	4	499	0.8%	No
RHOT1		1	1	499	0.2%	No
RNF213		10	7	499	1.4%	Yes
RNF216		2	2	499	0.4%	No
RNF215		2	2	499	0.4%	No
SYNDIG1		4	4	499	0.8%	No
PRELID3B		1	1	499	0.2%	No
SDR42E1		1	1	499	0.2%	No
MTERF3		1	1	499	0.2%	No
TIPARP		3	3	499	0.6%	Yes
MTERF2		1	1	499	0.2%	No
CYP4F2		2	2	499	0.4%	No
CYP4F3		2	2	499	0.4%	No
MTERF4		2	2	499	0.4%	No
NR2F1		1	1	499	0.2%	No
IL31RA		3	2	499	0.4%	No
NR2F2		1	1	499	0.2%	No
TREML2		1	1	499	0.2%	No
C6ORF89		2	2	499	0.4%	No
FOXL2NB		1	1	499	0.2%	No
RNF220		2	2	499	0.4%	No
ARHGAP9		3	3	499	0.6%	No
ZNF496		2	1	499	0.2%	No
ARHGAP8		1	1	499	0.2%	No
SIGLEC9		2	2	499	0.4%	No
ZNF493		1	1	499	0.2%	No
ZNF492		3	3	499	0.6%	No
ZNF491		1	1	499	0.2%	No
ZNF490		1	1	499	0.2%	No
ARHGAP1		1	1	499	0.2%	No
ARHGAP5		4	4	499	0.8%	No
MED16		1	1	499	0.2%	No
OSBPL11		2	2	499	0.4%	No
PEAR1		1	1	499	0.2%	No
ARHGAP6		2	2	499	0.4%	No
MED15		9	8	499	1.6%	No
MED17		1	1	499	0.2%	No
OSBPL10		4	4	499	0.8%	No
MECP2		2	2	499	0.4%	No
MED12	1.640e-12	8	8	499	1.6%	Yes
SULT1C3		2	2	499	0.4%	No
MED11		1	1	499	0.2%	No
MED14		2	2	499	0.4%	No
MED13		7	7	499	1.4%	No
TIFAB		2	2	499	0.4%	No
MECOM		7	7	499	1.4%	Yes
DLGAP1		4	4	499	0.8%	No
BMERB1		1	1	499	0.2%	No
OR52B2		1	1	499	0.2%	No
TPSAB1		1	1	499	0.2%	No
DLGAP3		3	3	499	0.6%	No
DLGAP2		4	4	499	0.8%	No
DLGAP4		2	2	499	0.4%	No
ZNF486		1	1	499	0.2%	No
ZNF485		4	4	499	0.8%	No
ZNF484		2	2	499	0.4%	No
ZNF483		1	1	499	0.2%	No
CNOT6L		2	2	499	0.4%	No
METRN		1	1	499	0.2%	No
RMI1		3	3	499	0.6%	No
ZNF480		1	1	499	0.2%	No
C6ORF62		1	1	499	0.2%	No
WNT9A		2	2	499	0.4%	No
BAZ1A		3	3	499	0.6%	No
SLC39A12		1	1	499	0.2%	No
BAZ1B		6	5	499	1.0%	No
JOSD1		2	1	499	0.2%	No
GMIP		7	4	499	0.8%	No
MED26		4	2	499	0.4%	No
SLC39A14		1	1	499	0.2%	No
DDB1		2	2	499	0.4%	No
MED23		2	2	499	0.4%	No
MED25		1	1	499	0.2%	No
MED24		1	1	499	0.2%	No
INCENP		1	1	499	0.2%	No
JMJD7-PLA2G4B		3	3	499	0.6%	No
PXDN		3	3	499	0.6%	No
PPARG		1	1	499	0.2%	Yes
OR52A1		3	3	499	0.6%	No
L2HGDH		1	1	499	0.2%	No
ZNF479		3	3	499	0.6%	No
PPARA		2	2	499	0.4%	No
ERGIC3		1	1	499	0.2%	No
ERGIC2		1	1	499	0.2%	No
PPARD		4	3	499	0.6%	No
OR52A5		1	1	499	0.2%	No
CRB2		4	3	499	0.6%	No
CRB1		3	3	499	0.6%	No
ZNF471		1	1	499	0.2%	No
ZNF470		1	1	499	0.2%	No
ODC1		1	1	499	0.2%	No
ABCB11		3	3	499	0.6%	No
CENPB		1	1	499	0.2%	No
EGFR		3	3	499	0.6%	Yes
CENPC		2	2	499	0.4%	No
EXOSC10		3	3	499	0.6%	No
SULT1E1		2	2	499	0.4%	No
NRAP		6	5	499	1.0%	No
SPOP	1.640e-12	58	57	499	11.4%	Yes
ZSWIM8		2	2	499	0.4%	No
ZNF468		4	3	499	0.6%	No
ZSWIM4		4	2	499	0.4%	No
ZNF467		1	1	499	0.2%	No
ZSWIM5		1	1	499	0.2%	No
ZSWIM2		1	1	499	0.2%	No
IL12RB2		1	1	499	0.2%	No
ZSWIM3		2	2	499	0.4%	No
CENPT		1	1	499	0.2%	No
ZNF462		5	5	499	1.0%	No
ZNF460		1	1	499	0.2%	No
CRBN		1	1	499	0.2%	Yes
ODAM		1	1	499	0.2%	No
COL22A1		9	8	499	1.6%	No
DAB2IP		1	1	499	0.2%	No
WNT7A		2	1	499	0.2%	No
CENPE		3	3	499	0.6%	No
CENPF		2	1	499	0.2%	No
COL3A1		2	2	499	0.4%	No
ABCB10		1	1	499	0.2%	No
SLCO3A1		5	4	499	0.8%	No
TAOK3		2	2	499	0.4%	No
CENPI		1	1	499	0.2%	No
ETNK1		1	1	499	0.2%	Yes
CENPJ		5	5	499	1.0%	No
TAOK1		3	2	499	0.4%	No
TAOK2		3	3	499	0.6%	No
CENPL		1	1	499	0.2%	No
ADGRL1		3	3	499	0.6%	No
TSR1		1	1	499	0.2%	No
SIGLEC1		8	6	499	1.2%	No
SIGLEC8		2	2	499	0.4%	No
ADGRL4		1	1	499	0.2%	No
CENPP		3	3	499	0.6%	No
CRAT		1	1	499	0.2%	No
SIGLEC6		1	1	499	0.2%	No
ADGRL2		6	4	499	0.8%	No
ZNF454		2	2	499	0.4%	No
ADGRL3		9	9	499	1.8%	No
ZNF451		1	1	499	0.2%	No
EXOC3L1		2	2	499	0.4%	No
OLFML2B		4	4	499	0.8%	No
NAB2		3	3	499	0.6%	Yes
REG1A		1	1	499	0.2%	No
CASC3		1	1	499	0.2%	No
OLFML2A		5	2	499	0.4%	No
NUDT11		11	11	499	2.2%	No
MFSD13A		2	2	499	0.4%	No
CLBA1		1	1	499	0.2%	No
ZNF445		1	1	499	0.2%	No
NUDT14		2	2	499	0.4%	No
ZNF443		2	2	499	0.4%	No
NUDT13		1	1	499	0.2%	No
PSKH1		2	1	499	0.2%	No
ZNF442		1	1	499	0.2%	No
NUDT12		3	3	499	0.6%	No
CDKL2		6	6	499	1.2%	No
ZNF441		1	1	499	0.2%	No
CDKL3		1	1	499	0.2%	No
ZNF440		1	1	499	0.2%	No
CDKL5		1	1	499	0.2%	No
POLRMT		1	1	499	0.2%	No
NAAA		1	1	499	0.2%	No
ZNF439		1	1	499	0.2%	No
OR51T1		1	1	499	0.2%	No
ZNF438		2	2	499	0.4%	No
ZNF436		2	1	499	0.2%	No
PLA2R1		3	3	499	0.6%	No
ZNF432		2	2	499	0.4%	No
CDKL1		1	1	499	0.2%	No
ZNF431		1	1	499	0.2%	No
ZNF430		1	1	499	0.2%	No
INO80B		1	1	499	0.2%	No
KHDRBS3		2	1	499	0.2%	No
BOD1L1		7	7	499	1.4%	No
GMPR		3	3	499	0.6%	No
NRF1		2	2	499	0.4%	No
REG3G		2	2	499	0.4%	No
SPATA7		1	1	499	0.2%	No
HNRNPDL		1	1	499	0.2%	No
OR51S1		2	2	499	0.4%	No
ZNF429		1	1	499	0.2%	No
ZNF428		1	1	499	0.2%	No
G3BP2		4	4	499	0.8%	No
SMYD2		2	2	499	0.4%	No
ZNF426		1	1	499	0.2%	No
TXNDC2		5	4	499	0.8%	No
PGK2		2	2	499	0.4%	No
NAE1		1	1	499	0.2%	No
ZNF423		6	6	499	1.2%	No
TXNDC8		1	1	499	0.2%	No
NADK		4	4	499	0.8%	Yes
TXNDC5		1	1	499	0.2%	No
ZNF420		4	4	499	0.8%	No
ALG1L2		1	1	499	0.2%	No
ODF1		1	1	499	0.2%	No
BOD1		1	1	499	0.2%	No
HPS1		1	1	499	0.2%	No
NRDC		1	1	499	0.2%	No
HPS4		1	1	499	0.2%	No
HPS3		2	2	499	0.4%	No
HPS6		1	1	499	0.2%	No
ARPC5		1	1	499	0.2%	No
HPS5		3	3	499	0.6%	No
IFNW1		1	1	499	0.2%	No
TMPRSS15		1	1	499	0.2%	No
YRDC		1	1	499	0.2%	No
IBTK		2	2	499	0.4%	No
NACA		1	1	499	0.2%	Yes
ZNF419		1	1	499	0.2%	No
ZNF418		3	2	499	0.4%	No
TBXAS1		2	2	499	0.4%	No
ZNF417		2	2	499	0.4%	No
ZNF416		3	3	499	0.6%	No
HPSE		3	1	499	0.2%	No
CNTROB		6	5	499	1.0%	No
SP140L		3	3	499	0.6%	No
OSBPL1A		2	2	499	0.4%	No
OGT		1	1	499	0.2%	No
ZNF410		2	2	499	0.4%	No
POM121L12		6	6	499	1.2%	No
MIPEP		1	1	499	0.2%	No
SNAP25		1	1	499	0.2%	No
CIITA		3	2	499	0.4%	Yes
ITGAM		3	3	499	0.6%	No
ITGB5		1	1	499	0.2%	No
NUMA1		6	4	499	0.8%	Yes
ITGB4		5	4	499	0.8%	No
ITGB2		2	2	499	0.4%	No
RMND1		1	1	499	0.2%	No
ITGAE		1	1	499	0.2%	No
ITGAL		5	5	499	1.0%	No
ELFN2		1	1	499	0.2%	No
ELFN1		1	1	499	0.2%	No
NKPD1		1	1	499	0.2%	No
NRGN		1	1	499	0.2%	No
ZNRD2		1	1	499	0.2%	No
PPP6R1		2	2	499	0.4%	No
ZNF408		3	3	499	0.6%	No
PPP6R2		3	3	499	0.6%	No
ZNF407		5	3	499	0.6%	No
PPP6R3		3	3	499	0.6%	No
DDI1		3	3	499	0.6%	No
ITGAX		3	3	499	0.6%	No
PGM3		2	2	499	0.4%	No
ITGB8		2	2	499	0.4%	No
PGM2		3	3	499	0.6%	No
EXO5		1	1	499	0.2%	No
UGT2A3		3	3	499	0.6%	No
ITGAV		3	3	499	0.6%	No
ITGB7		1	1	499	0.2%	No
PGM5		4	3	499	0.6%	No
ITGB6		6	5	499	1.0%	No
UGT2A1		1	1	499	0.2%	No
PGM1		1	1	499	0.2%	No
ACTR3		1	1	499	0.2%	No
ADGRV1		15	12	499	2.4%	No
ITGA4		3	3	499	0.6%	No
TMEM255B		3	3	499	0.6%	No
ITGA3		4	3	499	0.6%	No
TMEM255A		1	1	499	0.2%	No
ACTR6		1	1	499	0.2%	No
ITGA2		5	5	499	1.0%	No
ACTR5		2	2	499	0.4%	No
ITGA1		2	2	499	0.4%	No
AHSA1		2	2	499	0.4%	No
NRG1		3	3	499	0.6%	Yes
TFIP11		3	2	499	0.4%	No
NRG2		4	4	499	0.8%	No
SPTB		4	4	499	0.8%	No
MMS22L		2	2	499	0.4%	No
IMPACT		2	2	499	0.4%	No
ADORA2A		2	2	499	0.4%	No
ITGAD		5	4	499	0.8%	No
NRG3		3	3	499	0.6%	No
MYO3B		1	1	499	0.2%	No
SPATC1		1	1	499	0.2%	No
MYO3A		7	7	499	1.4%	No
ITGA8		3	3	499	0.6%	No
ITGA7		4	4	499	0.8%	No
UGT2B4		1	1	499	0.2%	No
SPACA3		1	1	499	0.2%	No
ITGA6		2	2	499	0.4%	No
NAF1		1	1	499	0.2%	No
SMIM21		1	1	499	0.2%	No
YAE1		1	1	499	0.2%	No
SPACA7		1	1	499	0.2%	No
UGT2B7		3	3	499	0.6%	No
ITGA9		4	4	499	0.8%	No
SPACA9		1	1	499	0.2%	No
BECN1		1	1	499	0.2%	No
ROCK1		5	5	499	1.0%	No
ROCK2		2	2	499	0.4%	No
GTPBP10		3	3	499	0.6%	No
ACCSL		3	3	499	0.6%	No
FOXRED1		1	1	499	0.2%	No
FOXRED2		3	1	499	0.2%	No
ZNRF2		1	1	499	0.2%	No
ZNRF3		1	1	499	0.2%	Yes
ZNRF4		2	2	499	0.4%	No
BAHD1		5	4	499	0.8%	No
CCDC85A		4	4	499	0.8%	No
PHKG2		2	2	499	0.4%	No
IGF2BP1		3	3	499	0.6%	No
IGF2BP2		1	1	499	0.2%	No
HNRNPA1		1	1	499	0.2%	No
HNRNPA0		1	1	499	0.2%	No
TBX1		1	1	499	0.2%	No
HNRNPA3		1	1	499	0.2%	No
MYO10		6	4	499	0.8%	No
FEM1A		7	7	499	1.4%	No
FEM1B		1	1	499	0.2%	No
CYP4B1		1	1	499	0.2%	No
NAGA		1	1	499	0.2%	No
EXOG		1	1	499	0.2%	No
TBX5		2	2	499	0.4%	No
HNRNPAB		1	1	499	0.2%	No
TBX4		1	1	499	0.2%	No
MYO19		2	1	499	0.2%	No
TBX3		7	7	499	1.4%	Yes
MYO16		3	3	499	0.6%	No
MYO1D		2	2	499	0.4%	No
MYO1E		3	3	499	0.6%	No
OR51V1		1	1	499	0.2%	No
MYO1B		1	1	499	0.2%	No
MYO1C		1	1	499	0.2%	No
SUCLA2		1	1	499	0.2%	No
NAGK		1	1	499	0.2%	No
MYO1A		3	3	499	0.6%	No
SCGB1A1		2	2	499	0.4%	No
POU2AF2		1	1	499	0.2%	No
NAGS		1	1	499	0.2%	No
MYO1H		4	4	499	0.8%	No
MYO1F		1	1	499	0.2%	No
TBATA		1	1	499	0.2%	No
CPNE9		5	5	499	1.0%	No
CPNE8		2	1	499	0.2%	No
SMARCB1		1	1	499	0.2%	Yes
CPNE4		1	1	499	0.2%	No
CPNE6		3	3	499	0.6%	No
LDLRAD1		1	1	499	0.2%	No
LDLRAD2		1	1	499	0.2%	No
LDLRAD3		1	1	499	0.2%	No
LDLRAD4		2	1	499	0.2%	No
CCDC102A		1	1	499	0.2%	No
CCDC102B		1	1	499	0.2%	No
OR51L1		1	1	499	0.2%	No
HERC5		1	1	499	0.2%	No
HERC4		1	1	499	0.2%	No
HERC3		1	1	499	0.2%	No
SPZ1		2	2	499	0.4%	No
HERC2		11	7	499	1.4%	No
CCDC91		1	1	499	0.2%	No
SNRPD2		1	1	499	0.2%	No
HERC1		6	4	499	0.8%	No
ADGRA1		1	1	499	0.2%	No
ADGRA2		3	3	499	0.6%	Yes
CCDC96		1	1	499	0.2%	No
CCDC97		2	1	499	0.2%	No
CPNE3		1	1	499	0.2%	No
PTGFRN		2	2	499	0.4%	No
SNRPD3		1	1	499	0.2%	No
CCDC92		3	2	499	0.4%	No
TBC1D22A		1	1	499	0.2%	No
SCAPER		1	1	499	0.2%	No
CCDC93		2	2	499	0.4%	No
TBC1D22B		1	1	499	0.2%	No
SMARCC1		1	1	499	0.2%	No
ALG8		1	1	499	0.2%	No
SMARCC2		2	2	499	0.4%	No
ALG9		1	1	499	0.2%	No
KCNK10		2	2	499	0.4%	No
ACTN2		2	2	499	0.4%	No
ACTN1		1	1	499	0.2%	No
OMD		1	1	499	0.2%	Yes
ALG5		1	1	499	0.2%	No
MYO7B		4	3	499	0.6%	No
MOGS		1	1	499	0.2%	No
ADGRA3		4	4	499	0.8%	No
ACTN4		3	1	499	0.2%	No
MYO7A		4	4	499	0.8%	No
UNC93A		1	1	499	0.2%	No
KCNK17		2	2	499	0.4%	No
KCNK18		1	1	499	0.2%	No
OMP		2	2	499	0.4%	No
CCDC80		4	3	499	0.6%	No
ADGRB2		3	2	499	0.4%	No
ADGRB3		11	11	499	2.2%	No
ADGRB1		7	7	499	1.4%	No
CCDC86		1	1	499	0.2%	No
CCDC87		4	3	499	0.6%	No
FAM76B		1	1	499	0.2%	No
CCDC81		1	1	499	0.2%	No
CCDC82		1	1	499	0.2%	No
NAIP		1	1	499	0.2%	No
SLC45A4		1	1	499	0.2%	No
ADCYAP1R1		2	2	499	0.4%	No
NUMBL		2	2	499	0.4%	No
SLC45A2		3	3	499	0.6%	No
GGNBP2		3	3	499	0.6%	No
EPB42		3	3	499	0.6%	No
GARRE1		4	2	499	0.4%	No
EPAS1		1	1	499	0.2%	Yes
SLC45A1		2	2	499	0.4%	No
PGS1		2	2	499	0.4%	No
SEC14L2		1	1	499	0.2%	No
SEC14L3		1	1	499	0.2%	No
BRIP1		3	3	499	0.6%	Yes
SEC14L1		2	2	499	0.4%	No
SEC14L4		1	1	499	0.2%	No
SEC14L5		3	3	499	0.6%	No
TBC1D8B		1	1	499	0.2%	No
RTBDN		1	1	499	0.2%	No
EGR1		3	3	499	0.6%	Yes
EGR3		1	1	499	0.2%	No
FAM78B		1	1	499	0.2%	No
RANBP17		2	2	499	0.4%	No
SMARCA5		3	3	499	0.6%	No
MYO5A		4	3	499	0.6%	Yes
SMARCA1		8	8	499	1.6%	Yes
SMARCA2		3	3	499	0.6%	Yes
SMARCA4		3	2	499	0.4%	Yes
EXT1		3	3	499	0.6%	Yes
CRNN		2	2	499	0.4%	No
EXT2		3	3	499	0.6%	Yes
EPRS1		4	4	499	0.8%	No
MYO5B		3	2	499	0.4%	No
MYO5C		1	1	499	0.2%	No
CALU		1	1	499	0.2%	No
NOL10		1	1	499	0.2%	No
CALR		1	1	499	0.2%	Yes
DDR1		3	2	499	0.4%	Yes
NRP1		2	2	499	0.4%	No
CSRNP1		3	3	499	0.6%	No
NRP2		3	3	499	0.6%	No
CSRNP3		1	1	499	0.2%	No
OTUD7A		2	2	499	0.4%	No
NAT10		2	2	499	0.4%	No
CROT		2	2	499	0.4%	No
NAT16		1	1	499	0.2%	No
THTPA		3	3	499	0.6%	No
NANP		2	2	499	0.4%	No
NUDCD3		1	1	499	0.2%	No
NUDCD1		1	1	499	0.2%	No
OR51Q1		2	2	499	0.4%	No
MIS18BP1		5	4	499	0.8%	No
MAP1LC3C		2	1	499	0.2%	No
OTUD6B		1	1	499	0.2%	No
GNRHR		4	3	499	0.6%	No
CHAMP1		4	4	499	0.8%	No
UFD1		1	1	499	0.2%	No
MUC13		1	1	499	0.2%	No
MUC15		1	1	499	0.2%	No
NANS		1	1	499	0.2%	No
APOBEC1		3	3	499	0.6%	No
CAP1		1	1	499	0.2%	No
SREBF1		2	1	499	0.2%	No
APOBEC2		1	1	499	0.2%	No
NBPF10		26	23	499	4.6%	No
KIF7		3	2	499	0.4%	No
KIF6		1	1	499	0.2%	No
SREBF2		4	4	499	0.8%	No
NBPF15		2	2	499	0.4%	No
DUS2		1	1	499	0.2%	No
DEPDC7		1	1	499	0.2%	No
PDIK1L		1	1	499	0.2%	No
DEPDC1		5	5	499	1.0%	No
MFGE8		4	4	499	0.8%	No
EEF1E1		1	1	499	0.2%	No
DEPDC5		3	2	499	0.4%	No
FJX1		1	1	499	0.2%	No
DDR2		2	2	499	0.4%	Yes
CAB39		1	1	499	0.2%	No
HSD17B3		1	1	499	0.2%	No
HSD17B4		3	3	499	0.6%	No
HSD17B7		2	2	499	0.4%	No
GNAI1		2	2	499	0.4%	No
NAPG		2	2	499	0.4%	No
CYP17A1		1	1	499	0.2%	Yes
GNAI2		2	2	499	0.4%	No
PNMA1		1	1	499	0.2%	No
HSD17B2		1	1	499	0.2%	Yes
CHRNA10		4	3	499	0.6%	No
EPS15		2	2	499	0.4%	Yes
CAP2		3	2	499	0.4%	No
GABBR2		3	3	499	0.6%	No
GABBR1		1	1	499	0.2%	No
MON2		3	2	499	0.4%	No
PNMA5		1	1	499	0.2%	No
OR51M1		1	1	499	0.2%	No
TTC1		1	1	499	0.2%	No
MYO9B		6	6	499	1.2%	No
PNMA2		1	1	499	0.2%	No
MYO9A		11	9	499	1.8%	No
ACTL8		2	2	499	0.4%	No
ITCH		2	2	499	0.4%	No
TTC6		3	3	499	0.6%	No
TTC4		2	2	499	0.4%	No
TCEA3		1	1	499	0.2%	No
TTC3		3	3	499	0.6%	No
TCEA1		1	1	499	0.2%	Yes
TCAP		2	2	499	0.4%	No
ALLC		1	1	499	0.2%	No
CAPS		1	1	499	0.2%	No
OTC		1	1	499	0.2%	No
OTUD4		7	7	499	1.4%	No
OTUD5		1	1	499	0.2%	No
CRTC2		1	1	499	0.2%	No
NARF		1	1	499	0.2%	No
ICE1		2	2	499	0.4%	No
UBXN2B		2	2	499	0.4%	No
CRTC1		5	5	499	1.0%	Yes
ICE2		1	1	499	0.2%	No
PAGE2		1	1	499	0.2%	No
OR51D1		2	2	499	0.4%	No
LOXL3		2	2	499	0.4%	No
BUB1B		3	1	499	0.2%	Yes
TTF2		1	1	499	0.2%	No
TTF1		3	3	499	0.6%	No
YARS1		3	2	499	0.4%	No
YARS2		3	3	499	0.6%	No
CARF		2	2	499	0.4%	No
LOXL1		1	1	499	0.2%	No
ACTG1		2	2	499	0.4%	Yes
LOXL2		2	2	499	0.4%	No
NR3C2		3	3	499	0.6%	No
EEF1B2		9	9	499	1.8%	No
AKR7A2		1	1	499	0.2%	No
AMMECR1L		1	1	499	0.2%	No
TBC1D31		1	1	499	0.2%	No
TBC1D32		2	2	499	0.4%	No
PEBP4		2	2	499	0.4%	No
TEKT1		3	3	499	0.6%	No
TEKT2		2	2	499	0.4%	No
TEKT3		3	3	499	0.6%	No
TEKT4		1	1	499	0.2%	No
TEKT5		3	3	499	0.6%	No
CASR		3	3	499	0.6%	No
MORC3		1	1	499	0.2%	No
IRAG1		4	4	499	0.8%	No
IRAG2		2	2	499	0.4%	No
TBC1D2B		4	4	499	0.8%	No
MUC3A		4	4	499	0.8%	No
EEF1A1		1	1	499	0.2%	No
GPRIN3		2	2	499	0.4%	No
EEF1A2		2	2	499	0.4%	No
TBC1D24		2	2	499	0.4%	No
WDFY1		2	2	499	0.4%	No
TBC1D25		1	1	499	0.2%	No
WDFY3		9	5	499	1.0%	No
TBC1D23		1	1	499	0.2%	No
CARS1		4	4	499	0.8%	Yes
CARS2		2	2	499	0.4%	No
EMID1		1	1	499	0.2%	No
TBC1D26		1	1	499	0.2%	No
DDX6		3	3	499	0.6%	Yes
GNAZ		3	3	499	0.6%	No
DDX5		1	1	499	0.2%	Yes
UBIAD1		2	2	499	0.4%	No
TBC1D19		2	2	499	0.4%	No
DDX1		1	1	499	0.2%	No
TCF7		1	1	499	0.2%	No
ADGRG3		1	1	499	0.2%	No
VCPIP1		3	3	499	0.6%	No
ADGRG4		7	7	499	1.4%	No
ADGRG1		1	1	499	0.2%	No
ADGRG2		2	2	499	0.4%	No
IRAK1		1	1	499	0.2%	No
ADGRG7		3	3	499	0.6%	No
IRAK2		4	4	499	0.8%	No
ADGRG6		3	3	499	0.6%	No
TBC1D13		1	1	499	0.2%	No
TBC1D14		2	2	499	0.4%	No
OR51B4		2	1	499	0.2%	No
VILL		6	6	499	1.2%	No
RHPN2		1	1	499	0.2%	No
MAGEA11		1	1	499	0.2%	No
MORC1		3	3	499	0.6%	No
TBC1D17		1	1	499	0.2%	No
MAGEA10		2	2	499	0.4%	No
TBC1D15		3	3	499	0.6%	No
QSER1		3	3	499	0.6%	No
TBC1D16		1	1	499	0.2%	No
EEFSEC		2	2	499	0.4%	No
KRTAP12-1		1	1	499	0.2%	No
CRTAP		1	1	499	0.2%	No
CAV3		1	1	499	0.2%	No
MUC16		45	38	499	7.6%	No
MUC17	8.750e-3	36	33	499	6.6%	No
CAV1		1	1	499	0.2%	No
RARRES2		1	1	499	0.2%	No
RARRES1		1	1	499	0.2%	No
CNOT10		2	2	499	0.4%	No
HOOK3		3	3	499	0.6%	Yes
GNAO1		1	1	499	0.2%	No
VIL1		2	2	499	0.4%	No
GNAL		3	3	499	0.6%	No
NASP		1	1	499	0.2%	No
HOOK2		5	4	499	0.8%	No
UBXN11		4	4	499	0.8%	No
NAT2		2	2	499	0.4%	No
ALPP		2	2	499	0.4%	No
UBXN10		2	2	499	0.4%	No
FAM151A		1	1	499	0.2%	No
GNB2		2	2	499	0.4%	No
GNB1		1	1	499	0.2%	Yes
GNB4		1	1	499	0.2%	No
NABP2		1	1	499	0.2%	No
GNB3		2	2	499	0.4%	No
OR51A4		3	2	499	0.4%	No
ALPI		1	1	499	0.2%	No
TCF4		1	1	499	0.2%	No
DEGS1		1	1	499	0.2%	No
PYROXD2		1	1	499	0.2%	No
TCF3		2	2	499	0.4%	Yes
GNB5		1	1	499	0.2%	No
DEGS2		4	4	499	0.8%	No
ALPG		2	2	499	0.4%	No
NAT9		2	2	499	0.4%	No
GALK2		1	1	499	0.2%	No
MUC21		4	3	499	0.6%	No
GALK1		1	1	499	0.2%	No
DYRK4		2	2	499	0.4%	No
DYRK3		2	1	499	0.2%	No
HP1BP3		2	2	499	0.4%	No
CYP4A22		2	1	499	0.2%	No
TCHH		7	6	499	1.2%	No
RND2		1	1	499	0.2%	No
TENT4A		3	3	499	0.6%	No
TENT4B		2	1	499	0.2%	No
CABIN1		1	1	499	0.2%	No
UFL1		6	6	499	1.2%	No
ADGRE2		7	7	499	1.4%	No
ADGRE5		2	2	499	0.4%	No
RB1CC1		2	2	499	0.4%	No
MYO18B		7	7	499	1.4%	No
MYO18A		5	1	499	0.2%	Yes
REDIC1		1	1	499	0.2%	No
DNAI4		1	1	499	0.2%	No
OR51G2		1	1	499	0.2%	No
OR51G1		1	1	499	0.2%	No
MYOCD		5	5	499	1.0%	No
PDPK1		1	1	499	0.2%	Yes
CYP4A11		1	1	499	0.2%	No
DNAI7		2	2	499	0.4%	No
IRAK3		5	5	499	1.0%	No
NAV1		1	1	499	0.2%	No
IRAK4		2	2	499	0.4%	No
NAV2		9	9	499	1.8%	No
TTI2		1	1	499	0.2%	No
TTI1		5	5	499	1.0%	No
ACTA1		1	1	499	0.2%	No
ADGRF3		1	1	499	0.2%	No
ADGRF1		2	2	499	0.4%	No
ALS2		3	2	499	0.4%	No
NAV3		8	6	499	1.2%	No
ADGRF4		4	4	499	0.8%	No
CRY2		4	3	499	0.6%	No
ADGRF5		2	2	499	0.4%	No
FAM153A		1	1	499	0.2%	No
CHI3L2		1	1	499	0.2%	No
CHI3L1		1	1	499	0.2%	No
GNB1L		3	3	499	0.6%	No
NAT8L		2	2	499	0.4%	No
CLRN2		2	2	499	0.4%	No
FAM72B		1	1	499	0.2%	No
OTUB1		1	1	499	0.2%	No
DNAH3		14	12	499	2.4%	No
OR51F2		1	1	499	0.2%	No
DNAH1		12	6	499	1.2%	No
